Total_Persons_At_Work,Total,Teleworked_Some_Hours,Teleworked_All_Hours,Did_Not_Telework,Total_Persons_At_Work_Percent,Total_Teleworked_Worked_Home_Percent,Teleworked_Some_Hours_Percent,Teleworked_All_Hours_Percent,Did_Not_Telework_Percent,Teleworked_Hours_Thousands,Avg_Weekly_Hours_Teleworked,Avg_Weekly_Hours_Worked,Telework_Hours_Percent,Telework_Hours_Percent_1,"Employment_Status_Occupation_Management, professional, and related occupations","Employment_Status_Occupation_Natural resources, construction, and maintenance occupations",Employment_Status_Occupation_Nonagricultural industries,"Employment_Status_Occupation_Production, transportation, and material moving occupations",Employment_Status_Occupation_Sales and office occupations,Employment_Status_Occupation_Self-employed workers,Employment_Status_Occupation_Service occupations,"Employment_Status_Occupation_Total, 16 years and over","Employment_Status_Occupation_Wage and salary workers, excluding incorporated self-employed",Employment_Status_Occupation_    Building and grounds cleaning and maintenance occupations,Employment_Status_Occupation_    Construction,Employment_Status_Occupation_    Construction and extraction occupations,Employment_Status_Occupation_    Education and health services,"Employment_Status_Occupation_    Farming, fishing, and forestry occupations",Employment_Status_Occupation_    Financial activities,Employment_Status_Occupation_    Food preparation and serving related occupations,Employment_Status_Occupation_    Full-time workers,Employment_Status_Occupation_    Government,Employment_Status_Occupation_    Healthcare support occupations,Employment_Status_Occupation_    Information,"Employment_Status_Occupation_    Installation, maintenance, and repair occupations",Employment_Status_Occupation_    Leisure and hospitality,"Employment_Status_Occupation_    Management, business, and financial operations occupations",Employment_Status_Occupation_    Manufacturing,"Employment_Status_Occupation_    Mining, quarrying, and oil and gas extraction",Employment_Status_Occupation_    Office and administrative support occupations,Employment_Status_Occupation_    Other services,Employment_Status_Occupation_    Part-time workers,Employment_Status_Occupation_    Personal care and service occupations,Employment_Status_Occupation_    Private industries,Employment_Status_Occupation_    Production occupations,Employment_Status_Occupation_    Professional and business services,Employment_Status_Occupation_    Professional and related occupations,Employment_Status_Occupation_    Protective service occupations,Employment_Status_Occupation_    Public administration,"Employment_Status_Occupation_    Self-employed workers, incorporated","Employment_Status_Occupation_    Self-employed workers, unincorporated",Employment_Status_Occupation_    Transportation and material moving occupations,Employment_Status_Occupation_    Transportation and utilities,Employment_Status_Occupation_    Wholesale and retail trade,Employment_Status_Occupation_     Sales and related occupations,Employment_Status_Occupation_       Accommodation and food services,Employment_Status_Occupation_       Architecture and engineering occupations,"Employment_Status_Occupation_       Arts, design, entertainment, sports, and media occupations","Employment_Status_Occupation_       Arts, entertainment, and recreation",Employment_Status_Occupation_       Business and financial operations occupations,Employment_Status_Occupation_       Community and social services occupations,Employment_Status_Occupation_       Computer and mathematical occupations,Employment_Status_Occupation_       Durable goods manufacturing,"Employment_Status_Occupation_       Education, training, and library occupations",Employment_Status_Occupation_       Educational services,Employment_Status_Occupation_       Federal,Employment_Status_Occupation_       Finance and insurance,Employment_Status_Occupation_       Health care and social assistance,Employment_Status_Occupation_       Healthcare practitioners and technical occupations,Employment_Status_Occupation_       Legal occupations,"Employment_Status_Occupation_       Life, physical, and social science occupations",Employment_Status_Occupation_       Local,Employment_Status_Occupation_       Management occupations,"Employment_Status_Occupation_       Management, administrative, and waste services",Employment_Status_Occupation_       Nondurable goods manufacturing,"Employment_Status_Occupation_       Other services, except private households",Employment_Status_Occupation_       Private households,Employment_Status_Occupation_       Professional and technical services,Employment_Status_Occupation_       Real estate and rental and leasing,Employment_Status_Occupation_       Retail trade,Employment_Status_Occupation_       State,Employment_Status_Occupation_       Transportation and warehousing,Employment_Status_Occupation_       Utilities,Employment_Status_Occupation_       Wholesale trade,"Employment_Status_Occupation_          Health services, except hospitals",Employment_Status_Occupation_          Hospitals,Employment_Status_Occupation_          Social assistance
3145,1370,795,575,1775,100,43.6,25.3,18.3,56.4,-0.4994884456537971,0.834821137639171,-0.5070993538189569,0.9915620935605449,0.26264592482482224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
21228,10133,4408,5726,11094,100,47.7,20.8,27.0,52.3,0.02759197725247728,1.6365828026064413,0.2651449365242432,1.6528268895364853,1.2936913297164108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13626,8483,3699,4783,5143,100,62.3,27.2,35.1,37.7,-0.19398991595846657,2.5411344246207976,0.5225596999719765,2.4959395044058095,1.3647979093641058,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7602,1651,708,942,5952,100,21.7,9.3,12.4,78.3,-0.3695765148406983,0.012501481262483367,-0.16387966922197975,0.04099394934513028,0.9737117213017796,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36481,6686,4018,2668,29795,100,18.3,11.0,7.3,81.7,0.472184007921581,-0.4397743297446948,-0.2496845903712235,-0.41362559788832887,-0.47212206486803404,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14235,2424,1822,602,11810,100,17.0,12.8,4.2,83.0,-0.17623888031449594,-0.6453542438388667,-0.30688787113738736,-0.6450682764799082,-1.823147078174253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22246,4262,2196,2066,17985,100,19.2,9.9,9.3,80.8,0.057264480184434766,-0.29586838987877445,-0.22108294998814157,-0.27310682874344155,0.2981992146486698,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7111,1121,611,510,5990,100,15.8,8.6,7.2,84.2,-0.3838881051546385,-0.4397743297446948,0.23654329614116126,-0.4632204575865245,0.2270926350009747,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11419,2148,1097,1050,9271,100,18.8,9.6,9.2,81.2,-0.2583192027667477,-0.3369843726976089,-0.30688787113738736,-0.2979042585925394,0.16783715196122828,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3717,993,488,505,2724,100,26.7,13.1,13.6,73.3,-0.48281588015568344,0.0741754554907349,-0.8789206787990179,0.23110757818821326,0.689285402710996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
